date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:24	103490/103490	---MCZ	200	added ('OK')	application/javascript	etag:%224b8586a70cfa6b90a68995e9f162d894-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/libs/jsvectormap/maps/world-merc.js	zoyothemes.com/tapeli/html/assets/libs/jsvectormap/maps/world-merc.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:28	130770/130770	---MCZ	200	added ('OK')	application/javascript	etag:%22b7048bfa1e3ca3c62878feab2e02a728-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/us-merc-en-map.js	zoyothemes.com/tapeli/html/assets/js/pages/us-merc-en-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:29	100546/100546	---MCZ	200	added ('OK')	application/javascript	etag:%22a2bd16b26dd3245328c1713165951745-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/us-lcc-en-map.js	zoyothemes.com/tapeli/html/assets/js/pages/us-lcc-en-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:32	121707/121707	---MCZ	200	added ('OK')	application/javascript	etag:%22298f105e134466c4ecba1677258f251b-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/us-mill-en-map.js	zoyothemes.com/tapeli/html/assets/js/pages/us-mill-en-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:42	75896/75896	---MCZ	200	added ('OK')	application/javascript	etag:%223dc99211abec2b801155ff9116fc0117-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/spain-map.js	zoyothemes.com/tapeli/html/assets/js/pages/spain-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:47	179771/179771	---MCZ	200	added ('OK')	application/javascript	etag:%223b458babde977700a4335e75e6acf823-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/russia-map.js	zoyothemes.com/tapeli/html/assets/js/pages/russia-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:10:54	125232/125232	---MCZ	200	added ('OK')	application/javascript	etag:%22485ac7a8c63f55539997b40e1744a204-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/canada-map.js	zoyothemes.com/tapeli/html/assets/js/pages/canada-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:11:07	52791/52791	---MCZ	200	added ('OK')	application/javascript	etag:%22420ea95485d4a29ce325b67cce1e0cc5-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/iraq-map.js	zoyothemes.com/tapeli/html/assets/js/pages/iraq-map.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:11:07	6718/6718	---MCZ	200	added ('OK')	application/javascript	etag:%225cd61e9af659f693d5785d7850a988b1-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/vector-maps.init.js	zoyothemes.com/tapeli/html/assets/js/pages/vector-maps.init.js	(from https://zoyothemes.com/tapeli/html/maps-vector)
18:11:13	99634/99634	UR-M--	200	updated ('Partial%20Content')	image/jpeg	etag:%223a693ce02a4fb585ce0f1cd2cae46841-ssl%22	https://zoyothemes.com/tapeli/html/assets/images/products/shoes.jpg	zoyothemes.com/tapeli/html/assets/images/products/shoes.jpg	(from https://zoyothemes.com/tapeli/html/ecommerce)
18:11:18	4094/4094	---MCZ	200	added ('OK')	application/javascript	etag:%2261ef43678b75ff72c92e75c3082720c4-ssl-df%22	https://zoyothemes.com/tapeli/html/assets/js/pages/google-maps-init.js	zoyothemes.com/tapeli/html/assets/js/pages/google-maps-init.js	(from https://zoyothemes.com/tapeli/html/maps-google)
18:11:18	47485/47485	---M--	200	added ('OK')	image/jpeg	etag:%22fc01b0067fc85c5c79ac47dc826287cb-ssl%22	https://zoyothemes.com/tapeli/html/assets/images/products/bags.jpg	zoyothemes.com/tapeli/html/assets/images/products/bags.jpg	(from https://zoyothemes.com/tapeli/html/ecommerce)
